"customer_id","order_count"
"13226.0",28
"13227.0",9
"13228.0",2
"13229.0",10
"13230.0",1340
"13231.0",1
"13232.0",207
"13233.0",76
"13234.0",63
"13235.0",59
"13236.0",39
"13237.0",24
"13238.0",48
"13239.0",95
"13240.0",232
"13241.0",42
"13242.0",35
"13243.0",220
"13244.0",27
"13245.0",45
"13246.0",385
"13247.0",25
"13248.0",26
"13249.0",35
"13250.0",21
"13251.0",25
"13252.0",22
"13253.0",75
"13254.0",4
"13255.0",33
"13256.0",1
"13257.0",9
"13258.0",46
"13259.0",324
"13260.0",8
"13261.0",9
"13262.0",50
"13263.0",1920
"13264.0",38
"13265.0",91
"13266.0",327
"13267.0",453
"13268.0",447
"13269.0",503
"13270.0",2
"13271.0",101
"13272.0",15
"13273.0",16
"13274.0",19
"13275.0",50
"13276.0",251
"13277.0",23
"13278.0",109
"13279.0",11
"13280.0",211
"13281.0",26
"13282.0",54
"13283.0",20
"13284.0",14
"13285.0",231
"13286.0",49
"13287.0",74
"13288.0",12
"13289.0",16
"13290.0",3
"13291.0",328
"13292.0",60
"13293.0",73
"13294.0",102
"13295.0",76
"13296.0",53
"13297.0",124
"13298.0",2
"13299.0",66
"13300.0",58
"13301.0",81
"13302.0",3
"13303.0",4
"13304.0",87
"13305.0",206
"13306.0",4
"13307.0",15
"13308.0",74
"13309.0",130
"13310.0",100
"13311.0",26
"13312.0",5
"13313.0",191
"13314.0",75
"13315.0",22
"13316.0",177
"13317.0",381
"13318.0",20
"13319.0",998
"13320.0",155
"13321.0",11
"13322.0",25
"13323.0",21
"13324.0",139
"13325.0",12
"13326.0",13
"13327.0",346
"13328.0",17
"13329.0",132
"13330.0",118
"13331.0",12
"13332.0",21
"13333.0",55
"13334.0",481
"13335.0",1
"13336.0",51
"13337.0",90
"13338.0",146
"13339.0",54
"13340.0",215
"13341.0",42
"13342.0",2
"13343.0",22
"13344.0",119
"13345.0",22
"13346.0",6
"13347.0",8
"13348.0",14
"13349.0",16
"13350.0",43
"13351.0",16
"13352.0",27
"13353.0",3
"13354.0",51
"13355.0",32
"13356.0",42
"13357.0",399
"13358.0",29
"13359.0",61
"13360.0",73
"13361.0",34
"13362.0",304
"13363.0",102
"13364.0",20
"13365.0",134
"13366.0",1
"13367.0",20
"13368.0",53
"13369.0",33
"13370.0",88
"13371.0",95
"13372.0",23
"13373.0",358
"13374.0",17
"13375.0",72
"13376.0",53
"13377.0",81
"13378.0",1
"13379.0",97
"13380.0",3
"13381.0",361
"13382.0",86
"13383.0",1
"13384.0",271
"13385.0",35
"13386.0",31
"13387.0",73
"13388.0",70
"13389.0",51
"13390.0",13
"13391.0",1
"13392.0",8
"13393.0",73
"13394.0",423
"13395.0",81
"13396.0",47
"13397.0",93
"13398.0",39
"13399.0",15
"13400.0",24
"13401.0",1
"13402.0",96
"13403.0",9
"13404.0",11
"13405.0",46
"13406.0",10
"13407.0",92
"13408.0",874
"13409.0",1
"13410.0",53
"13411.0",18
"13412.0",34
"13413.0",45
"13414.0",57
"13415.0",116
"13416.0",26
"13417.0",82
"13418.0",575
"13419.0",16
"13420.0",10
"13421.0",275
"13422.0",128
"13423.0",12
"13424.0",41
"13425.0",181
"13426.0",345
"13427.0",52
"13428.0",144
"13429.0",67
"13430.0",54
"13431.0",130
"13432.0",111
"13433.0",25
"13434.0",35
"13435.0",154
"13436.0",12
"13437.0",167
"13438.0",1
"13439.0",167
"13440.0",70
"13441.0",38
"13442.0",38
"13443.0",205
"13444.0",58
"13445.0",7
"13446.0",214
"13447.0",62
"13448.0",564
"13449.0",19
"13450.0",148
"13451.0",1044
"13452.0",3
"13453.0",42
"13454.0",23
"13455.0",164
"13456.0",65
"13457.0",11
"13458.0",497
"13459.0",73
"13460.0",17
"13461.0",66
"13462.0",72
"13463.0",1
"13464.0",152
"13465.0",34
"13466.0",59
"13467.0",99
"13468.0",750
"13469.0",6
"13470.0",10
"13471.0",260
"13472.0",28
"13473.0",72
"13474.0",130
"13475.0",86
"13476.0",109
"13477.0",160
"13478.0",131
"13479.0",58
"13480.0",41
"13481.0",228
"13482.0",20
"13483.0",10
"13484.0",40
"13485.0",162
"13486.0",69
"13487.0",49
"13488.0",731
"13489.0",14
"13490.0",8
"13491.0",268
"13492.0",50
"13493.0",8
"13494.0",18
"13495.0",159
"13496.0",36
"13497.0",69
"13498.0",17
"13499.0",45
"13500.0",87
"13501.0",116
"13502.0",34
"13503.0",210
"13504.0",22
"13505.0",227
"13506.0",103
"13507.0",162
"13508.0",28
"13509.0",49
"13510.0",302
"13511.0",6
"13512.0",39
"13513.0",42
"13514.0",21
"13515.0",76
"13516.0",61
"13517.0",143
"13518.0",38
"13519.0",20
"13520.0",212
"13521.0",436
"13522.0",5
"13523.0",236
"13524.0",27
"13525.0",6
"13526.0",54
"13527.0",459
"13528.0",1
