"customer_id","recency_days","first_transaction_date","attempt_count"
"14911",0,"2009-12-01 11:41:00","466"
"12748",0,"2009-12-04 17:31:00","343"
"17841",1,"2009-12-02 15:41:00","287"
"15311",0,"2009-12-01 11:21:00","269"
"14606",0,"2009-12-03 12:40:00","250"
"13089",2,"2009-12-02 15:44:00","247"
"14156",9,"2009-12-01 12:30:00","182"
"17850",301,"2009-12-05 12:28:00","159"
"13694",3,"2009-12-04 15:26:00","158"
"14646",1,"2009-12-02 16:52:00","153"
"18102",0,"2009-12-01 09:24:00","147"
"14527",2,"2009-12-02 12:06:00","140"
"15061",3,"2009-12-01 12:18:00","137"
"17949",0,"2009-12-02 11:07:00","128"
"13408",1,"2009-12-04 09:31:00","127"
"13798",0,"2009-12-08 16:21:00","124"
"16422",16,"2009-12-01 13:52:00","122"
"12471",1,"2009-12-02 14:43:00","120"
"12971",3,"2009-12-15 19:04:00","119"
"16029",38,"2009-12-08 11:23:00","112"
"15039",9,"2009-12-10 11:39:00","107"
"12921",3,"2009-12-01 13:43:00","103"
"17961",20,"2009-12-01 14:48:00","102"
"13767",1,"2009-12-01 10:52:00","96"
"13078",0,"2009-12-01 09:06:00","95"
"16013",3,"2009-12-08 10:24:00","91"
"17677",1,"2009-12-11 13:19:00","90"
"17377",23,"2009-12-02 12:39:00","90"
"17675",0,"2009-12-10 16:10:00","89"
"14680",24,"2009-12-04 12:36:00","87"
"13093",266,"2009-12-04 10:32:00","87"
"13468",1,"2009-12-03 13:32:00","86"
"17511",2,"2009-12-02 10:52:00","84"
"14298",2,"2009-12-11 13:49:00","84"
"17243",0,"2009-12-01 15:36:00","80"
"16133",3,"2010-03-31 12:21:00","78"
"13319",4,"2009-12-06 14:46:00","78"
"15005",15,"2009-12-01 13:20:00","76"
"17389",0,"2009-12-04 12:06:00","75"
"16168",10,"2009-12-03 12:38:00","72"
"13777",0,"2009-12-02 09:47:00","72"
"12931",21,"2009-12-01 11:46:00","68"
"13199",3,"2009-12-05 10:11:00","68"
"16684",3,"2009-12-07 12:56:00","64"
"15078",6,"2009-12-04 12:03:00","63"
"18172",14,"2009-12-11 09:58:00","63"
"17865",30,"2009-12-01 10:49:00","62"
"16779",1,"2009-12-03 13:03:00","62"
"16705",0,"2009-12-09 13:34:00","61"
"14667",10,"2009-12-02 12:38:00","61"
"13534",1,"2010-07-07 15:00:00","60"
"17757",0,"2010-01-13 15:56:00","60"
"17811",3,"2010-09-20 11:24:00","60"
"13113",0,"2010-03-28 16:13:00","59"
"14735",3,"2009-12-04 11:32:00","58"
"15856",3,"2009-12-03 14:02:00","58"
"15189",0,"2010-07-18 13:37:00","58"
"17920",3,"2009-12-06 10:37:00","56"
"16161",1,"2010-02-08 11:06:00","56"
"17450",7,"2010-09-27 16:59:00","55"
"15358",4,"2009-12-07 12:19:00","55"
"13050",8,"2009-12-15 15:06:00","54"
"16525",1,"2009-12-02 13:53:00","54"
"15615",9,"2009-12-02 15:28:00","54"
"14031",6,"2009-12-03 15:35:00","54"
"14194",4,"2009-12-10 19:18:00","54"
"12709",2,"2009-12-09 13:49:00","53"
"12681",14,"2009-12-13 13:31:00","53"
"12682",3,"2009-12-01 09:28:00","52"
"15291",25,"2009-12-03 11:09:00","52"
"17581",0,"2009-12-03 12:34:00","52"
"13599",0,"2009-12-01 12:30:00","52"
"12474",16,"2010-02-11 09:41:00","52"
"18223",1,"2009-12-04 12:20:00","51"
"13881",3,"2010-03-04 14:41:00","51"
"17428",0,"2009-12-01 17:28:00","51"
"16839",8,"2010-02-11 15:02:00","51"
"13267",2,"2009-12-07 16:56:00","50"
"16782",9,"2009-12-09 11:58:00","50"
"14849",21,"2010-01-10 11:40:00","50"
"14543",3,"2009-12-01 13:47:00","49"
"15769",6,"2009-12-11 09:58:00","49"
"12835",417,"2009-12-03 12:13:00","49"
"13564",353,"2009-12-02 11:55:00","49"
"17068",11,"2010-03-28 14:26:00","49"
"15498",2,"2009-12-16 17:27:00","48"
"17696",37,"2009-12-10 17:09:00","48"
"17448",528,"2010-03-04 17:29:00","48"
"14895",7,"2009-12-03 10:58:00","48"
"16558",0,"2009-12-03 18:11:00","47"
"17315",0,"2010-09-27 12:45:00","47"
"13668",2,"2009-12-11 14:28:00","47"
"16746",4,"2009-12-04 13:00:00","46"
"15555",11,"2009-12-06 11:58:00","46"
"14560",6,"2009-12-02 10:15:00","46"
"13004",11,"2009-12-15 09:44:00","46"
"12437",1,"2009-12-02 16:24:00","45"
"15738",18,"2009-12-10 15:52:00","45"
"18109",1,"2010-07-01 12:13:00","45"
"13854",8,"2010-01-08 11:28:00","45"
"17576",7,"2009-12-03 16:11:00","45"
"12621",1,"2010-02-09 12:01:00","44"
"16656",21,"2009-12-04 12:59:00","44"
"14952",45,"2009-12-03 15:34:00","43"
"13081",0,"2009-12-08 13:58:00","43"
"17706",3,"2010-01-19 12:13:00","43"
"14051",0,"2009-12-03 11:53:00","42"
"14180",10,"2010-06-09 14:56:00","42"
"15827",72,"2010-01-08 11:25:00","42"
"13102",0,"2010-05-06 13:12:00","42"
"13069",0,"2010-06-14 14:27:00","42"
"12841",4,"2010-07-08 15:38:00","42"
"12647",21,"2010-01-13 15:06:00","42"
"16713",18,"2009-12-15 12:49:00","41"
"15513",30,"2010-01-13 14:59:00","41"
"14299",7,"2009-12-02 10:58:00","41"
"14040",40,"2009-12-01 12:14:00","41"
"13098",0,"2011-01-26 13:46:00","41"
"15044",18,"2009-12-16 15:13:00","41"
"16923",11,"2010-01-31 11:14:00","41"
"16353",3,"2009-12-07 13:55:00","41"
"15805",22,"2009-12-10 12:57:00","40"
"17017",2,"2009-12-03 13:22:00","40"
"13047",45,"2009-12-16 11:43:00","40"
"18041",11,"2010-01-14 10:04:00","40"
"15719",32,"2009-12-01 12:47:00","39"
"12989",2,"2009-12-10 13:27:00","39"
"12720",2,"2010-07-21 09:46:00","39"
"16523",1,"2009-12-08 14:29:00","39"
"15194",2,"2009-12-03 10:37:00","39"
"17381",8,"2010-06-09 12:55:00","39"
"14796",0,"2009-12-14 15:06:00","39"
"13969",6,"2010-03-25 13:15:00","39"
"16191",2,"2009-12-11 12:24:00","39"
"15465",19,"2009-12-10 09:42:00","39"
"16401",0,"2010-06-02 13:13:00","38"
"16843",42,"2009-12-10 11:40:00","38"
"14534",2,"2010-03-15 14:16:00","38"
"18226",38,"2010-03-05 10:05:00","38"
"13097",32,"2009-12-01 13:31:00","38"
"15159",1,"2010-10-04 09:31:00","38"
"13263",0,"2010-10-22 17:07:00","38"
"13018",15,"2010-03-01 12:34:00","37"
"12472",30,"2009-12-09 10:47:00","37"
"13001",3,"2009-12-03 14:43:00","37"
"13418",11,"2009-12-11 12:51:00","37"
"15581",155,"2009-12-02 12:19:00","37"
"15838",10,"2009-12-15 09:51:00","37"
"16549",9,"2009-12-03 17:59:00","37"
"16814",13,"2010-04-11 12:45:00","37"
"13148",28,"2009-12-07 15:26:00","36"
"16033",5,"2010-08-11 16:44:00","36"
"13999",9,"2009-12-05 12:42:00","36"
"16553",162,"2010-02-11 18:46:00","36"
"15125",24,"2010-03-31 13:29:00","36"
"16210",1,"2009-12-02 12:54:00","35"
"16019",1,"2009-12-14 14:12:00","35"
"15867",4,"2009-12-14 15:16:00","35"
"15601",10,"2009-12-01 14:53:00","35"
"15768",115,"2009-12-03 12:10:00","35"
"18118",10,"2010-11-23 13:36:00","35"
"17231",11,"2009-12-07 16:38:00","35"
"16945",21,"2009-12-09 11:33:00","35"
"14110",3,"2009-12-01 09:50:00","35"
"15093",17,"2009-12-08 12:46:00","34"
"14688",7,"2010-09-09 12:35:00","34"
"15640",3,"2009-12-14 16:36:00","34"
"16592",3,"2009-12-18 15:57:00","34"
"16701",8,"2009-12-01 19:19:00","34"
"16754",371,"2010-03-08 11:32:00","34"
"17611",3,"2009-12-01 13:29:00","34"
"12901",8,"2011-03-14 10:41:00","34"
"12540",19,"2009-12-07 16:56:00","34"
"18225",2,"2009-12-04 16:51:00","34"
"17965",37,"2009-12-14 13:19:00","33"
"14217",1,"2010-06-30 12:54:00","33"
