"customer_id","monetary_net"
"18102",570380.61
"14646",523342.07
"14156",296063.44
"14911",265757.91
"17450",231390.55
"13694",190020.84
"17511",168491.62
"12415",143269.29
"16684",141502.25
"15061",124961.98
"15311",111739.36
"13089",109893.24
"17949",97581.59
"14298",90489.31
"16029",89705.47
"15769",84177.58
"13798",73166.92
"15838",72727.41
"12931",71299.67
"17841",67186.87
"14088",62400.02
"16422",59379.94
"14096",57120.91
"13081",55961.37
"17389",54577.68
"16754",54558.18
"13093",53274.33
"14680",53080.02
"16013",51420.92
"17850",50407.77
"13408",49315.02
"13777",49218.41
"12748",46933.33
"17404",46006.82
"13881",44392.50
"16705",42653.14
"15039",38853.04
"12471",37920.01
"17675",37064.32
"17381",36395.47
"14031",36048.26
"17677",34232.18
"12921",33951.65
"12678",33851.13
"16210",33565.52
"13767",33480.82
"16779",32522.40
"15856",31873.05
"14258",31027.35
"17428",30885.06
"13902",30411.26
"12681",29518.24
"12709",29511.03
"14606",29197.59
"13098",28658.88
"13078",28369.44
"17857",27231.34
"17940",26873.62
"16333",26626.80
"18251",26278.86
"15513",25950.95
"12731",25673.21
"17865",25586.85
"13802",25491.56
"14062",25416.28
"14527",25285.91
"12939",25264.80
"14895",24488.82
"12621",24114.70
"13001",24006.60
"17920",23575.23
"15640",23375.09
"12409",23090.47
"15498",23075.09
"16525",22919.40
"12682",22862.12
"16133",22228.88
"12540",22107.29
"13340",22100.56
"15159",22049.40
"12482",21893.53
"15749",21535.90
"14051",21441.48
"15615",21282.07
"12753",21024.01
"13319",20974.96
"14866",20554.09
"16839",20416.03
"14667",20188.79
"12477",20173.64
"15251",20095.60
"17243",20022.93
"18008",19759.08
"16843",19528.78
"17139",19473.91
"17706",19066.07
"17340",18891.89
"14194",18442.87
"14607",18371.06
"12357",18287.66
"12557",18096.14
"16746",18012.20
"17581",17440.89
"14952",17347.25
"16652",17312.83
"18172",17289.23
"17416",17221.47
"17377",17176.27
"15523",17119.24
"15078",17101.37
"15189",17101.13
"13027",17052.00
"15808",17038.95
"12647",16713.99
"17735",16707.98
"12433",16641.74
"16019",16503.46
"16553",16500.12
"14961",16328.90
"16656",16307.72
"12901",16293.10
"13113",16236.44
"15358",16213.65
"16180",16170.27
"15125",16124.33
"13199",15936.30
"12980",15909.39
"13225",15879.27
"17716",15671.32
"15044",15661.35
"17107",15595.37
"12472",15447.69
"14769",15438.90
"12949",15391.00
"15768",15267.26
"12971",15214.55
"14849",15186.60
"16191",15151.92
"13564",15036.14
"18092",14687.47
"16126",14644.60
"16873",14547.03
"18087",14411.62
"14733",14200.78
"15601",14150.84
"13488",14131.81
"12714",14093.71
"13178",13997.89
"16713",13943.36
"12435",13925.93
"17589",13692.89
"12476",13684.12
"15382",13646.50
"18223",13497.58
"12583",13489.04
"15005",13412.90
"13629",13370.86
"12744",13158.16
"16558",13149.56
"15291",13122.44
"15093",13034.15
"15738",13015.42
"17133",12972.09
"14110",12957.60
"14049",12848.40
"12989",12846.80
"13969",12820.36
"13097",12796.61
"13952",12790.89
"13090",12759.93
"16549",12759.25
"13316",12656.18
"18225",12643.25
"13668",12607.68
"14299",12607.53
"16923",12572.15
"12451",12546.53
"13468",12494.38
"17858",12444.30
"12437",12394.85
"16000",12393.70
"14936",12378.46
"14040",12336.08
"16161",12236.22
"12481",12041.15
"15144",12006.51
"12474",11948.75
"16814",11916.35
"14735",11909.71
"14543",11905.71
"13687",11880.84
"17044",11867.60
"13458",11850.62
"13854",11848.81
"16258",11833.52
"14415",11803.62
"17338",11783.33
"15194",11781.52
"16523",11760.54
"18226",11748.58
"15465",11670.90
"14505",11596.04
"17364",11587.05
"14739",11555.69
"12705",11554.00
"15023",11500.16
"13050",11464.43
"12567",11451.44
"15218",11408.26
"14016",11379.71
"12683",11355.52
"12668",11319.06
"13418",11242.22
"13576",11167.00
"13004",11143.99
"15874",11135.00
"14134",11123.35
"13102",11123.30
"14426",11103.97
"12524",11091.36
"13013",11073.48
"18052",10877.18
"15555",10875.64
"16985",10545.76
"15032",10515.05
"16033",10465.07
"13324",10421.37
"15290",10355.58
"12431",10293.66
"16168",10263.28
"15296",10204.13
"17160",10201.36
