"customer_id","recency_days","first_transaction_date","attempt_count","is_never_converted"
"16995",371,"2010-12-02 17:09:00",1,True
"13353",388,"2010-11-16 11:14:00",1,True
"17755",423,"2010-10-11 15:45:00",1,True
"14120",429,"2010-10-05 19:12:00",1,True
"13342",581,"2010-05-06 16:44:00",1,True
"14914",605,"2010-04-13 10:14:00",1,True
"15997",616,"2010-04-01 13:04:00",1,True
"17661",640,"2010-03-08 16:28:00",1,True
"15767",640,"2009-12-04 14:56:00",2,True
"13749",700,"2010-01-07 16:52:00",1,True
"17632",716,"2009-12-22 10:40:00",2,True
"16512",727,"2009-12-11 14:31:00",1,True
"16220",727,"2009-12-11 13:36:00",1,True
"17645",727,"2009-12-11 13:31:00",1,True
"16580",728,"2009-12-11 12:40:00",1,True
"12896",730,"2009-12-09 09:28:00",1,True
"14864",730,"2009-12-08 17:07:00",1,True
"14337",730,"2009-12-08 14:04:00",1,True
"16853",730,"2009-12-08 17:32:00",1,True
"14925",730,"2009-12-08 13:44:00",1,True
"14763",731,"2009-12-07 17:59:00",1,True
"17485",737,"2009-12-01 14:52:00",1,True
"17641",738,"2009-12-01 12:35:00",1,True
"16322",0,"2011-11-03 14:33:00",2,False
"17528",0,"2011-09-29 13:04:00",11,False
"17530",0,"2009-12-06 16:17:00",13,False
"15951",0,"2010-11-23 18:20:00",4,False
"17451",0,"2011-08-26 11:54:00",10,False
"13510",0,"2009-12-14 13:51:00",17,False
"17405",0,"2011-07-12 14:17:00",5,False
"16705",0,"2009-12-09 13:34:00",61,False
"14422",0,"2009-12-17 12:12:00",21,False
"13318",0,"2011-11-02 13:26:00",3,False
"17554",0,"2011-07-14 20:01:00",5,False
"16794",0,"2010-03-25 15:17:00",17,False
"17389",0,"2009-12-04 12:06:00",75,False
"15910",0,"2010-01-21 11:51:00",15,False
"17315",0,"2010-09-27 12:45:00",47,False
"16688",0,"2011-10-10 12:23:00",4,False
"16833",0,"2010-03-26 15:31:00",6,False
"13471",0,"2011-10-23 13:10:00",4,False
"17581",0,"2009-12-03 12:34:00",52,False
"14056",0,"2011-02-28 15:19:00",29,False
"15399",0,"2011-09-21 15:57:00",3,False
"14051",0,"2009-12-03 11:53:00",42,False
"13599",0,"2009-12-01 12:30:00",52,False
"14415",0,"2009-12-16 14:08:00",32,False
"17428",0,"2009-12-01 17:28:00",51,False
"14446",0,"2010-11-18 12:08:00",5,False
"13081",0,"2009-12-08 13:58:00",43,False
