"invoice_no","stock_code","invoice_date","quantity","had_customer_id","count"
"489856","22111","2009-12-02 14:36:00",5,False,2
"490741","22111","2009-12-07 17:56:00",7,False,2
"490963","20682","2009-12-08 15:49:00",1,False,2
"490963","21278","2009-12-08 15:49:00",1,False,2
"490963","22138","2009-12-08 15:49:00",1,False,2
"491970","22111","2009-12-14 18:03:00",2,False,2
"492079","85042","2009-12-15 13:49:00",8,True,2
"492760","21143","2009-12-18 14:22:00",12,True,2
"495343","21576","2010-01-22 18:05:00",1,False,2
"496247","21974","2010-01-29 16:11:00",1,False,2
"496247","21977","2010-01-29 16:11:00",1,False,2
"496247","22035","2010-01-29 16:11:00",1,False,2
"496247","22109","2010-01-29 16:11:00",1,False,2
"496247","85031C","2010-01-29 16:11:00",1,False,2
"496247","85099F","2010-01-29 16:11:00",2,False,2
"496290","22241","2010-01-29 17:55:00",1,False,2
"504936","22203","2010-04-19 11:23:00",1,False,2
"505202","85060","2010-04-20 16:21:00",1,False,2
"506576","21214","2010-04-30 13:41:00",1,False,2
"511452","22624","2010-06-08 12:44:00",1,False,2
