"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"490009","2009-12-03 12:13:00","21232","STRAWBERRY CERAMIC TRINKET BOX",10,1.25,12.50
"490009","2009-12-03 12:13:00","21612","SET 12 WILDFLOWER BOTANICAL T-LIGHT",1,2.95,2.95
"490009","2009-12-03 12:13:00","21929","JUMBO BAG PINK VINTAGE PAISLEY",5,1.95,9.75
"490009","2009-12-03 12:13:00","21931","JUMBO STORAGE BAG SUKI",1,1.95,1.95
"490009","2009-12-03 12:13:00","21932","SCANDINAVIAN PAISLEY PICNIC BAG",2,2.95,5.90
"490009","2009-12-03 12:13:00","21933","PINK VINTAGE PAISLEY PICNIC BAG",1,2.95,2.95
"490009","2009-12-03 12:13:00","22054","MINI CAKE STAND HANGING HEARTS",5,1.65,8.25
"490009","2009-12-03 12:13:00","20943","SET/6 GINGERBREAD STAR T-LIGHTS",5,1.25,6.25
"490009","2009-12-03 12:13:00","20913","SET/5 BLUE SPOTTY LID GLASS BOWLS",2,2.95,5.90
"490009","2009-12-03 12:13:00","21157","RED SPOTTY WASHBAG",1,2.10,2.10
"490009","2009-12-03 12:13:00","21157","RED SPOTTY WASHBAG",8,2.10,16.80
"490009","2009-12-03 12:13:00","20685","RED SPOTTY COIR DOORMAT",2,6.75,13.50
"490009","2009-12-03 12:13:00","21110","LARGE CAKE TOWEL PINK SPOTS",3,6.75,20.25
"490009","2009-12-03 12:13:00","22061","LARGE CAKE STAND  HANGING STRAWBERY",4,9.95,39.80
"490009","2009-12-03 12:13:00","22195","LARGE HEART MEASURING SPOONS",2,1.65,3.30
"490009","2009-12-03 12:13:00","22196","SMALL HEART MEASURING SPOONS",8,0.85,6.80
"490009","2009-12-03 12:13:00","22196","SMALL HEART MEASURING SPOONS",15,0.85,12.75
"490009","2009-12-03 12:13:00","22278","OVERNIGHT BAG VINTAGE ROSE PAISLEY",2,4.95,9.90
"490009","2009-12-03 12:13:00","35991","SET/6 BLACK SNOWFLAKE T-LIGHTS ",1,1.69,1.69
"490009","2009-12-03 12:13:00","37503","TEA TIME CAKE STAND IN GIFT BOX",3,10.75,32.25
"490009","2009-12-03 12:13:00","48129","DOOR MAT TOPIARY",1,6.75,6.75
"490009","2009-12-03 12:13:00","48188","DOOR MAT WELCOME PUPPIES",1,6.75,6.75
"490009","2009-12-03 12:13:00","72814","SET/3 CHRISTMAS BRIAR CANDLES",1,3.75,3.75
"490009","2009-12-03 12:13:00","84380","SET OF 3 BUTTERFLY COOKIE CUTTERS",1,1.25,1.25
"490009","2009-12-03 12:13:00","84569C","PACK 4 FLOWER/BUTTERFLY PATCHES",1,1.25,1.25
"490009","2009-12-03 12:13:00","84569D","PACK 6 HEART/ICE-CREAM PATCHES",1,1.25,1.25
"490009","2009-12-03 12:13:00","20967","GREY FLORAL FELTCRAFT SHOULDER BAG",2,3.75,7.50
"490009","2009-12-03 12:13:00","20970","PINK FLORAL FELTCRAFT SHOULDER BAG",2,3.75,7.50
"490009","2009-12-03 12:13:00","85014A","BLACK/BLUE DOTS RUFFLED UMBRELLA",2,5.95,11.90
"490009","2009-12-03 12:13:00","85014B","RED/WHITE DOTS RUFFLED UMBRELLA",2,5.95,11.90
"490009","2009-12-03 12:13:00","85099B","JUMBO BAG RED WHITE SPOTTY ",5,1.95,9.75
"490308","2009-12-04 14:52:00","22058","CERAMIC LOVE HEARTS DESIGN MUG",6,1.49,8.94
"490308","2009-12-04 14:52:00","20728","LUNCH BAG CARS BLUE",2,1.65,3.30
