"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"491151","2009-12-10 09:25:00","21232","STRAWBERRY CERAMIC TRINKET BOX",72,1.06,76.32
"491151","2009-12-10 09:25:00","21275","ZINC TOP  2 DOOR WOODEN SHELF ",16,3.95,63.20
"491151","2009-12-10 09:25:00","21276","TWO EMBOSSED HEART MINI DRAWERS",24,1.95,46.80
"491151","2009-12-10 09:25:00","21733","RED HANGING HEART T-LIGHT HOLDER",32,2.55,81.60
"491151","2009-12-10 09:25:00","21779","MA CAMPAGNE MINI WOODEN CHEST",32,2.95,94.40
"491151","2009-12-10 09:25:00","21780","MA CAMPAGNE 4 DRAWER WALL SHELF",16,5.95,95.20
"491151","2009-12-10 09:25:00","22189","CREAM HEART CARD HOLDER",36,3.39,122.04
"491151","2009-12-10 09:25:00","85123A","WHITE HANGING HEART T-LIGHT HOLDER",32,2.55,81.60
"492225","2009-12-15 18:32:00","20724","RED SPOTTY CHARLOTTE BAG",100,0.72,72.00
"492225","2009-12-15 18:32:00","21174","POTTERING IN THE SHED METAL SIGN",24,1.95,46.80
"492225","2009-12-15 18:32:00","21212","PACK OF 72 RETRO SPOT CAKE CASES",120,0.42,50.40
"492225","2009-12-15 18:32:00","21276","TWO EMBOSSED HEART MINI DRAWERS",24,1.95,46.80
"492225","2009-12-15 18:32:00","21733","RED HANGING HEART T-LIGHT HOLDER",32,2.55,81.60
"492225","2009-12-15 18:32:00","21770","OPEN CLOSED METAL SIGN",2,4.95,9.90
"492225","2009-12-15 18:32:00","21790","VINTAGE SNAP CARDS",72,0.72,51.84
"492225","2009-12-15 18:32:00","21843","RETRO SPOT CAKE STAND",10,10.95,109.50
"492225","2009-12-15 18:32:00","21908","CHOCOLATE THIS WAY METAL SIGN",24,2.10,50.40
"492225","2009-12-15 18:32:00","22083","PAPER CHAIN KIT RETRO SPOT",40,2.55,102.00
"492225","2009-12-15 18:32:00","22189","CREAM HEART CARD HOLDER",36,3.39,122.04
"492225","2009-12-15 18:32:00","84836","ZINC METAL HEART DECORATION",12,1.25,15.00
"492225","2009-12-15 18:32:00","84948","SILVER HANGING T-LIGHT HOLDER DOME",24,1.65,39.60
"492225","2009-12-15 18:32:00","84949","SILVER HANGING T-LIGHT HOLDER",24,1.65,39.60
"492225","2009-12-15 18:32:00","85099B","JUMBO BAG RED WHITE SPOTTY ",100,1.65,165.00
"492225","2009-12-15 18:32:00","85123A","WHITE HANGING HEART T-LIGHT HOLDER",32,2.55,81.60
"498778","2010-02-23 10:48:00","21668","RED STRIPE CERAMIC DRAWER KNOB",24,1.25,30.00
"498778","2010-02-23 10:48:00","21670","BLUE SPOT CERAMIC DRAWER KNOB",24,1.25,30.00
"498778","2010-02-23 10:48:00","21671","RED SPOT CERAMIC DRAWER KNOB",24,1.25,30.00
"498778","2010-02-23 10:48:00","21673","WHITE SPOT BLUE CERAMIC DRAWER KNOB",24,1.25,30.00
