"customer_id","monetary_net"
"18102",578408.64
"14646",523202.74
"14156",297775.01
"14911",258522.43
"17450",233643.91
"13694",190391.50
"17511",168504.44
"12415",143107.02
"16684",141530.29
"15061",124982.13
"15311",111444.36
"13089",109893.24
"17949",98469.06
"16029",97066.71
"14298",90489.31
"15769",84183.52
"13798",73177.50
"15838",72738.93
"12931",71546.97
"17841",67275.26
"14088",63731.63
"16422",59939.52
"13081",55968.97
"17389",54945.68
"16754",54692.82
"13093",53283.30
"14096",53258.43
"14680",53080.02
"16013",51615.64
"17850",50407.77
"13408",49751.36
"13777",49228.16
"12748",46671.23
"17404",45863.82
"13881",44392.50
"16705",42653.14
"15098",39619.50
"15039",38853.04
"17675",37067.02
"17381",36395.47
"14031",36112.53
"17677",34233.35
"12921",33951.65
"16210",33545.52
"13767",33480.82
"12471",33294.92
"16779",32522.40
"12678",32165.13
"15856",31871.79
"14258",31027.35
"17428",30885.06
"13902",30375.26
"14606",28913.22
"12709",28708.10
"13098",28658.88
"17940",28389.58
"13078",28369.44
"12681",26679.24
"16333",26626.80
"14527",26359.18
"18251",26278.86
"15513",25959.16
"17857",25653.84
"17865",25584.75
"12731",25540.21
"13802",25491.56
"14062",25416.28
"12939",25264.80
"15498",24739.06
"14895",24488.82
"13001",24006.60
"17920",23563.33
"15640",23340.29
"12409",23090.47
"16525",22919.40
"16133",22228.88
"13340",22100.56
"15159",22049.40
"12482",21941.72
"12621",21900.70
"15749",21535.90
"14051",21441.48
"15615",21282.07
"12753",21024.01
"13319",20974.96
"12682",20648.12
"14866",20507.59
"16839",20420.53
"12477",20173.64
"14667",20153.04
"15251",20118.92
"17243",20004.03
"18008",19759.08
"16843",19528.78
"17139",19473.91
"12540",19159.29
"17340",19159.01
"17706",19066.07
"14194",18442.87
"12557",18096.14
"16746",18010.50
"17581",17543.99
"12357",17437.66
"14952",17347.25
"16652",17312.83
"18172",17289.23
"14607",17226.23
"17416",17221.47
"17377",17184.23
"13027",17143.20
"15523",17119.24
"15189",17101.13
"15078",17091.37
"15808",17038.95
"12433",16794.14
"17735",16707.98
"16019",16503.46
"16553",16500.12
"14961",16328.90
"12901",16316.14
"16656",16307.72
"13113",16250.09
"15358",16213.65
"16180",16170.27
"15125",16124.33
"13199",15921.30
"12980",15909.39
"13225",15879.27
"17716",15671.32
"15044",15653.61
"13564",15613.10
"17107",15595.37
"14769",15437.25
"12949",15391.00
"15768",15307.26
"12971",15218.05
"14849",15186.60
"16191",15155.17
"18092",14687.47
"16126",14644.60
"16873",14547.03
"17448",14375.01
"14733",14200.78
"12472",14169.69
"15601",14150.84
"13488",14131.81
"13178",13997.89
"16713",13943.36
"12435",13925.93
"12647",13919.74
"17589",13661.22
"15382",13646.50
"18087",13563.62
"18223",13504.67
"15005",13410.90
"13629",13370.86
"12744",13158.16
"16558",13149.56
"15291",13077.44
"15093",13034.15
"15738",13015.42
"17133",12972.09
"14110",12959.60
"14049",12848.40
"12989",12846.80
"13969",12820.36
"13316",12818.42
"12714",12815.71
"13097",12811.56
"13952",12790.89
"16549",12759.25
"13090",12744.93
"18225",12643.25
"14299",12620.28
"13668",12607.68
"16923",12572.15
"13468",12518.01
"12451",12506.53
"17858",12458.65
"12583",12409.04
"17017",12397.49
"16000",12393.70
"14936",12378.46
"14040",12340.13
"16161",12279.97
"15144",12006.51
"14543",11958.76
"12476",11920.12
"16814",11906.45
"14735",11899.66
"13687",11880.84
"17044",11867.60
"13458",11850.62
"13854",11848.81
"16258",11833.52
"14415",11803.62
"15194",11781.52
"17338",11777.49
"16523",11760.54
"18226",11749.58
"15465",11670.90
"14505",11590.04
"17364",11587.05
"14739",11555.69
"13050",11525.54
"15023",11477.01
"15218",11393.26
"14016",11279.71
"13418",11242.22
"12539",11186.75
"13576",11167.00
"13004",11143.99
"15874",11135.00
"14134",11123.35
"13102",11123.30
"14426",11103.97
"13013",11073.48
"12437",11011.85
"12705",10906.00
"12481",10889.15
"12474",10886.75
"18052",10877.18
"15555",10866.36
"16985",10545.76
"15032",10515.05
"16033",10465.07
"12567",10425.44
"13324",10421.37
"15290",10355.58
"16168",10279.02
"16984",10206.40
"15296",10204.13
"17160",10201.36
"14422",10200.92
"12683",10167.52
"18229",10150.51
"15719",10117.22
"18055",10110.59
"16327",10103.22
"17809",10014.58
"15547",9989.15
"13985",9982.31
"16182",9971.65
"14796",9971.20
"12431",9963.66
"14101",9942.13
"13680",9899.56
"15482",9891.12
"16131",9866.27
"14755",9851.45
"12668",9842.06
"13941",9826.63
"14828",9803.46
"16353",9781.93
"12758",9779.00
"12524",9759.36
"17306",9751.77
"13018",9742.81
"18260",9737.10
"15694",9719.13
"14329",9695.92
"14085",9692.92
"15805",9668.62
"16701",9614.59
"17049",9588.83
"14944",9574.92
"16782",9552.62
"14091",9530.08
"12839",9529.72
"14063",9471.50
"17315",9467.45
"14439",9443.04
"13999",9438.01
"13599",9435.47
"13735",9422.36
"18109",9416.41
"15727",9371.71
"17811",9351.83
"14045",9334.23
"12590",9330.48
"15981",9284.07
"17504",9238.42
"13267",9212.06
"17230",9159.45
"15249",9147.15
"14367",9134.12
"13162",9116.94
"16709",9056.01
"15939",8992.09
"17757",8990.49
"15150",8967.44
"17068",8945.53
"13327",8914.42
"14292",8887.90
"14060",8882.30
"14709",8866.48
"15903",8859.82
"14135",8800.80
"13555",8798.99
"12747",8786.53
"15867",8780.77
"12490",8759.64
"16532",8756.64
"16700",8747.12
"15260",8677.88
"16186",8676.23
"15570",8672.44
"12359",8652.34
"13263",8650.98
"15497",8643.46
"12957",8628.42
"13756",8595.65
"16550",8550.92
"13758",8544.29
"17576",8534.45
"16945",8530.66
"12798",8510.93
"13269",8507.01
"18139",8438.34
"13209",8438.06
"14160",8421.47
"14286",8396.70
"15786",8379.65
"13069",8358.79
"15281",8317.62
"13448",8312.52
"13206",8308.19
"15984",8304.82
"17686",8296.81
"14676",8285.49
"14057",8276.10
"14146",8208.87
"15034",8200.25
"13139",8193.83
"15998",8186.19
"13381",8185.02
"16722",8168.31
"17365",8160.30
"17396",8159.10
"17611",8149.93
"16672",8119.69
"13047",8110.09
"13715",8108.09
"12766",8093.14
"13426",8084.38
