"customer_id","monetary_gross"
"18102",580987.04
"14646",528602.52
"14156",313437.62
"14911",291420.81
"17450",244784.25
"13694",195640.69
"17511",172132.87
"16446",168472.50
"16684",147142.77
"12415",144458.37
"15061",126389.02
"16029",117763.62
"17949",117314.08
"15311",114966.42
"13089",113416.91
"12931",92347.34
"14298",91194.49
"15769",88612.52
"12346",77556.46
"13798",75428.87
"15838",73205.50
"17841",68545.25
"16754",65500.07
"14096",65164.79
"14088",64036.80
"16422",61920.87
"17389",57215.33
"13081",56838.37
"16013",56078.44
"14680",55688.50
"13093",54144.25
"12748",53539.64
"17850",51208.87
"13408",50174.78
"13777",49638.26
"17404",47781.12
"13881",45179.10
"15749",44534.30
"16705",43515.05
"12471",39918.19
"15098",39916.50
"15039",39141.48
"14031",39019.51
"17675",37642.48
"17381",36398.65
"12921",35233.24
"17677",35058.46
"12678",34281.18
"13902",34095.26
"13767",33903.57
"16210",33750.97
"16779",32809.03
"15856",32275.95
"14258",32051.34
"17428",31466.76
"17940",30306.79
"12709",30291.76
"14606",29951.37
"12681",29834.76
"13078",29018.06
"13098",28882.44
"17857",27347.04
"14527",27246.88
"16333",26626.80
"15513",26437.05
"17865",26312.19
"18251",26278.86
"13802",26259.11
"12731",25775.71
"14062",25585.65
"12744",25317.06
"12939",25264.80
"14895",25119.54
"15498",24972.86
"12621",24311.20
"16525",24151.30
"13001",24042.65
"14607",23763.13
"12482",23691.40
"17920",23581.78
"15640",23494.31
"12409",23419.29
"16133",22992.26
"12682",22950.22
"14063",22710.20
"12540",22254.49
"15159",22116.73
"13340",22100.56
"14051",21770.98
"16839",21758.25
"12753",21429.39
"15615",21373.97
"13319",21323.22
"14866",20746.54
"14667",20395.34
"15251",20324.54
"12477",20276.37
"17706",20272.15
"17243",20203.58
"18008",19759.08
"17340",19617.95
"16843",19571.43
"17139",19566.76
"14194",18670.59
"12357",18287.66
"13113",18230.07
"12557",18096.14
"16746",18046.75
"17581",17951.17
"12901",17654.54
