"customer_id","admin_rows","total_admin_value"
"15202.0",8,-2570.18
"13776.0",8,-340.17
"15354.0",7,-94.80
"14802.0",6,-1502.98
"14308.0",5,-849.45
"15760.0",5,-5795.87
"14255.0",4,-1441.60
"13290.0",3,-208.63
"14832.0",3,-274.63
"14328.0",3,-445.06
"12918.0",3,-10953.50
"15802.0",3,-451.42
"14906.0",3,-66.98
"16879.0",2,-140.96
"17013.0",2,-3224.76
"12737.0",2,3710.50
"17570.0",2,0.00
"14380.0",2,-99.73
"13633.0",1,-306.66
"13664.0",1,-13.14
"13910.0",1,-127.66
"14103.0",1,0.00
"14313.0",1,-302.31
"14781.0",1,-530.31
"14827.0",1,0.00
"14939.0",1,-934.66
"15357.0",1,-36.75
"15383.0",1,-10.50
"15849.0",1,-5876.34
"15896.0",1,-1899.67
"16047.0",1,107.14
"16151.0",1,-4217.59
"16154.0",1,-10.50
"16291.0",1,117.72
"16514.0",1,-134.86
"16575.0",1,-10.49
"16703.0",1,-15.00
"16981.0",1,-4620.86
"16994.0",1,-779.32
"17130.0",1,-18.38
"17399.0",1,-25111.09
"17424.0",1,-176.96
"17445.0",1,-506.51
"17452.0",1,-227.28
"17546.0",1,-648.05
"17846.0",1,2033.10
"17943.0",1,-165.03
"12382.0",1,-18.38
"18023.0",1,-3248.86
"12404.0",1,63.24
"12466.0",1,56.73
"12555.0",1,129.23
"12570.0",1,77.52
"12606.0",1,21.00
"12636.0",1,141.00
"12706.0",1,-91.89
"12846.0",1,15.58
"13054.0",1,-14.00
"13100.0",1,-1598.67
"13231.0",1,-355.20
"13335.0",1,-955.06
"13378.0",1,-756.40
"13401.0",1,-1834.14
"13409.0",1,-525.65
"13463.0",1,-158.65
"13528.0",1,-40.00
