"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"527113","2010-10-14 17:33:00","21056","DOCTOR'S BAG SOFT TOY",40,8.95,358.00
"527113","2010-10-14 17:33:00","22904","CALENDAR PAPER CUT DESIGN",160,2.95,472.00
"527113","2010-10-14 17:33:00","22903","CALENDAR FAMILY FAVOURITES",160,2.95,472.00
"527113","2010-10-14 17:33:00","22670","FRENCH WC SIGN BLUE METAL",576,1.25,720.00
"527113","2010-10-14 17:33:00","21380","WOODEN HAPPY BIRTHDAY GARLAND",288,2.95,849.60
"527113","2010-10-14 17:33:00","22341","LOVE GARLAND PAINTED ZINC ",576,1.65,950.40
"527113","2010-10-14 17:33:00","22271","FELTCRAFT DOLL ROSIE",144,2.95,424.80
"527113","2010-10-14 17:33:00","21381","MINI WOODEN HAPPY BIRTHDAY GARLAND",288,1.69,486.72
"C527790","2010-10-19 11:12:00","21056","DOCTOR'S BAG SOFT TOY",-40,8.95,-358.00
"C527790","2010-10-19 11:12:00","21380","WOODEN HAPPY BIRTHDAY GARLAND",-288,2.95,-849.60
"C527790","2010-10-19 11:12:00","21381","MINI WOODEN HAPPY BIRTHDAY GARLAND",-288,1.69,-486.72
"C527790","2010-10-19 11:12:00","22271","FELTCRAFT DOLL ROSIE",-144,2.95,-424.80
"C527790","2010-10-19 11:12:00","22341","LOVE GARLAND PAINTED ZINC ",-576,1.65,-950.40
"C527790","2010-10-19 11:12:00","22670","FRENCH WC SIGN BLUE METAL",-576,1.25,-720.00
"C527790","2010-10-19 11:12:00","22903","CALENDAR FAMILY FAVOURITES",-160,2.95,-472.00
"C527790","2010-10-19 11:12:00","22904","CALENDAR PAPER CUT DESIGN",-160,2.95,-472.00
"527796","2010-10-19 11:14:00","22341","LOVE GARLAND PAINTED ZINC ",576,1.45,835.20
"527796","2010-10-19 11:14:00","21056","DOCTOR'S BAG SOFT TOY",40,7.95,318.00
"527796","2010-10-19 11:14:00","21380","WOODEN HAPPY BIRTHDAY GARLAND",288,2.55,734.40
"527796","2010-10-19 11:14:00","21381","MINI WOODEN HAPPY BIRTHDAY GARLAND",288,1.45,417.60
"527796","2010-10-19 11:14:00","22271","FELTCRAFT DOLL ROSIE",144,2.55,367.20
"527796","2010-10-19 11:14:00","22670","FRENCH WC SIGN BLUE METAL",576,1.06,610.56
"527796","2010-10-19 11:14:00","22903","CALENDAR FAMILY FAVOURITES",160,2.55,408.00
"527796","2010-10-19 11:14:00","22904","CALENDAR PAPER CUT DESIGN",160,2.55,408.00
"C531557","2010-11-09 10:06:00","21056","DOCTOR'S BAG SOFT TOY",-40,7.95,-318.00
"C531557","2010-11-09 10:06:00","22904","CALENDAR PAPER CUT DESIGN",-160,2.55,-408.00
"C531557","2010-11-09 10:06:00","22903","CALENDAR FAMILY FAVOURITES",-160,2.55,-408.00
"C531557","2010-11-09 10:06:00","22670","FRENCH WC SIGN BLUE METAL",-576,1.06,-610.56
"C531557","2010-11-09 10:06:00","22341","LOVE GARLAND PAINTED ZINC ",-576,1.45,-835.20
"C531557","2010-11-09 10:06:00","22271","FELTCRAFT DOLL ROSIE",-144,2.55,-367.20
"C531557","2010-11-09 10:06:00","21381","MINI WOODEN HAPPY BIRTHDAY GARLAND",-288,1.45,-417.60
"C531557","2010-11-09 10:06:00","21380","WOODEN HAPPY BIRTHDAY GARLAND",-288,2.55,-734.40
"531561","2010-11-09 10:09:00","22904","CALENDAR PAPER CUT DESIGN",160,2.55,408.00
"531561","2010-11-09 10:09:00","21056","DOCTOR'S BAG SOFT TOY",40,7.95,318.00
"531561","2010-11-09 10:09:00","21380","WOODEN HAPPY BIRTHDAY GARLAND",288,2.55,734.40
"531561","2010-11-09 10:09:00","21381","MINI WOODEN HAPPY BIRTHDAY GARLAND",288,1.45,417.60
"531561","2010-11-09 10:09:00","22271","FELTCRAFT DOLL ROSIE",144,2.55,367.20
"531561","2010-11-09 10:09:00","22341","LOVE GARLAND PAINTED ZINC ",576,1.45,835.20
"531561","2010-11-09 10:09:00","22670","FRENCH WC SIGN BLUE METAL",576,1.06,610.56
"531561","2010-11-09 10:09:00","22903","CALENDAR FAMILY FAVOURITES",160,2.55,408.00
"571255","2011-10-14 17:13:00","23245","SET OF 3 REGENCY CAKE TINS",16,4.15,66.40
"571255","2011-10-14 17:13:00","72802B","OCEAN SCENT CANDLE IN JEWELLED BOX",200,1.25,250.00
"571255","2011-10-14 17:13:00","72802C","VANILLA SCENT CANDLE JEWELLED BOX",288,1.25,360.00
"571255","2011-10-14 17:13:00","22173","METAL 4 HOOK HANGER FRENCH CHATEAU",32,2.75,88.00
"571255","2011-10-14 17:13:00","82483","WOOD 2 DRAWER CABINET WHITE FINISH",32,5.95,190.40
"571255","2011-10-14 17:13:00","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",12,8.15,97.80
"571255","2011-10-14 17:13:00","82494L","WOODEN FRAME ANTIQUE WHITE ",72,2.55,183.60
"571255","2011-10-14 17:13:00","82482","WOODEN PICTURE FRAME WHITE FINISH",72,2.55,183.60
"571255","2011-10-14 17:13:00","22423","REGENCY CAKESTAND 3 TIER",32,10.95,350.40
"571255","2011-10-14 17:13:00","23055","IVORY CHANDELIER T-LIGHT HOLDER",48,5.39,258.72
"571255","2011-10-14 17:13:00","23056","FLOWERS CHANDELIER T-LIGHT HOLDER",48,5.39,258.72
"571255","2011-10-14 17:13:00","23057","BEADED CHANDELIER T-LIGHT HOLDER",48,4.15,199.20
"571255","2011-10-14 17:13:00","23064","CINDERELLA CHANDELIER ",10,41.75,417.50
"571255","2011-10-14 17:13:00","23071","MARIE ANTOINETTE TRINKET BOX GOLD",48,6.50,312.00
"571255","2011-10-14 17:13:00","23072","MARIE ANTOINETTE TRINKET BOX SILVER",48,6.50,312.00
"C571499","2011-10-17 15:07:00","22173","METAL 4 HOOK HANGER FRENCH CHATEAU",-32,2.75,-88.00
"C571499","2011-10-17 15:07:00","22423","REGENCY CAKESTAND 3 TIER",-32,10.95,-350.40
"C571499","2011-10-17 15:07:00","23055","IVORY CHANDELIER T-LIGHT HOLDER",-48,5.39,-258.72
"C571499","2011-10-17 15:07:00","23056","FLOWERS CHANDELIER T-LIGHT HOLDER",-48,5.39,-258.72
"C571499","2011-10-17 15:07:00","23057","BEADED CHANDELIER T-LIGHT HOLDER",-48,4.15,-199.20
"C571499","2011-10-17 15:07:00","23064","CINDERELLA CHANDELIER ",-10,41.75,-417.50
"C571499","2011-10-17 15:07:00","23071","MARIE ANTOINETTE TRINKET BOX GOLD",-48,6.50,-312.00
"C571499","2011-10-17 15:07:00","23072","MARIE ANTOINETTE TRINKET BOX SILVER",-48,6.50,-312.00
"C571499","2011-10-17 15:07:00","23245","SET OF 3 REGENCY CAKE TINS",-16,4.15,-66.40
"C571499","2011-10-17 15:07:00","72802B","OCEAN SCENT CANDLE IN JEWELLED BOX",-200,1.25,-250.00
"C571499","2011-10-17 15:07:00","72802C","VANILLA SCENT CANDLE JEWELLED BOX",-288,1.25,-360.00
"C571499","2011-10-17 15:07:00","82482","WOODEN PICTURE FRAME WHITE FINISH",-72,2.55,-183.60
"C571499","2011-10-17 15:07:00","82483","WOOD 2 DRAWER CABINET WHITE FINISH",-32,5.95,-190.40
"C571499","2011-10-17 15:07:00","82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",-12,8.15,-97.80
"C571499","2011-10-17 15:07:00","82494L","WOODEN FRAME ANTIQUE WHITE ",-72,2.55,-183.60
