"customer_id","recency_days","frequency_completed","first_transaction_date","last_transaction_date","active_span_days","conversion_status"
"16995",371,NULL,"2010-12-02 17:09:00","2010-12-02 17:09:00",0,"Never Converted"
"13353",388,NULL,"2010-11-16 11:14:00","2010-11-16 11:14:00",0,"Never Converted"
"17755",423,NULL,"2010-10-11 15:45:00","2010-10-11 15:45:00",0,"Never Converted"
"14120",429,NULL,"2010-10-05 19:12:00","2010-10-05 19:12:00",0,"Never Converted"
"13342",581,NULL,"2010-05-06 16:44:00","2010-05-06 16:44:00",0,"Never Converted"
"14914",605,NULL,"2010-04-13 10:14:00","2010-04-13 10:14:00",0,"Never Converted"
"15997",616,NULL,"2010-04-01 13:04:00","2010-04-01 13:04:00",0,"Never Converted"
"17661",640,NULL,"2010-03-08 16:28:00","2010-03-08 16:28:00",0,"Never Converted"
"15767",640,NULL,"2009-12-04 14:56:00","2010-03-08 15:48:00",94,"Never Converted"
"13749",700,NULL,"2010-01-07 16:52:00","2010-01-07 16:52:00",0,"Never Converted"
"17632",716,NULL,"2009-12-22 10:40:00","2009-12-22 14:25:00",0,"Never Converted"
"16512",727,NULL,"2009-12-11 14:31:00","2009-12-11 14:31:00",0,"Never Converted"
"16220",727,NULL,"2009-12-11 13:36:00","2009-12-11 13:36:00",0,"Never Converted"
"17645",727,NULL,"2009-12-11 13:31:00","2009-12-11 13:31:00",0,"Never Converted"
"16580",728,NULL,"2009-12-11 12:40:00","2009-12-11 12:40:00",0,"Never Converted"
"12896",730,NULL,"2009-12-09 09:28:00","2009-12-09 09:28:00",0,"Never Converted"
"14864",730,NULL,"2009-12-08 17:07:00","2009-12-08 17:07:00",0,"Never Converted"
"14337",730,NULL,"2009-12-08 14:04:00","2009-12-08 14:04:00",0,"Never Converted"
"16853",730,NULL,"2009-12-08 17:32:00","2009-12-08 17:32:00",0,"Never Converted"
"14925",730,NULL,"2009-12-08 13:44:00","2009-12-08 13:44:00",0,"Never Converted"
"14763",731,NULL,"2009-12-07 17:59:00","2009-12-07 17:59:00",0,"Never Converted"
"17485",737,NULL,"2009-12-01 14:52:00","2009-12-01 14:52:00",0,"Never Converted"
"17641",738,NULL,"2009-12-01 12:35:00","2009-12-01 12:35:00",0,"Never Converted"
"16322",0,2,"2011-11-03 14:33:00","2011-12-08 15:41:00",35,"Converted"
"17528",0,8,"2011-09-29 13:04:00","2011-12-08 13:27:00",70,"Converted"
"17530",0,12,"2009-12-06 16:17:00","2011-12-08 18:42:00",732,"Converted"
"15951",0,3,"2010-11-23 18:20:00","2011-12-08 18:57:00",380,"Converted"
"17451",0,7,"2011-08-26 11:54:00","2011-12-08 15:02:00",104,"Converted"
"13510",0,11,"2009-12-14 13:51:00","2011-12-08 13:46:00",724,"Converted"
"17405",0,3,"2011-07-12 14:17:00","2011-12-08 17:12:00",149,"Converted"
"16705",0,42,"2009-12-09 13:34:00","2011-12-09 12:08:00",730,"Converted"
"14422",0,19,"2009-12-17 12:12:00","2011-12-09 11:26:00",722,"Converted"
"13318",0,3,"2011-11-02 13:26:00","2011-12-08 18:51:00",36,"Converted"
"17554",0,5,"2011-07-14 20:01:00","2011-12-08 14:15:00",147,"Converted"
"16794",0,15,"2010-03-25 15:17:00","2011-12-08 17:54:00",623,"Converted"
"17389",0,61,"2009-12-04 12:06:00","2011-12-09 09:38:00",735,"Converted"
"15910",0,15,"2010-01-21 11:51:00","2011-12-09 10:51:00",687,"Converted"
"17315",0,41,"2010-09-27 12:45:00","2011-12-09 11:58:00",438,"Converted"
"16688",0,4,"2011-10-10 12:23:00","2011-12-08 15:24:00",59,"Converted"
"16833",0,6,"2010-03-26 15:31:00","2011-12-08 14:39:00",622,"Converted"
"13471",0,4,"2011-10-23 13:10:00","2011-12-08 15:44:00",46,"Converted"
"17581",0,43,"2009-12-03 12:34:00","2011-12-09 12:21:00",736,"Converted"
"14056",0,23,"2011-02-28 15:19:00","2011-12-08 13:36:00",283,"Converted"
"15399",0,3,"2011-09-21 15:57:00","2011-12-08 13:04:00",78,"Converted"
"14051",0,37,"2009-12-03 11:53:00","2011-12-09 10:20:00",736,"Converted"
"13599",0,33,"2009-12-01 12:30:00","2011-12-08 19:26:00",737,"Converted"
"14415",0,23,"2009-12-16 14:08:00","2011-12-08 14:38:00",722,"Converted"
"17428",0,45,"2009-12-01 17:28:00","2011-12-09 09:45:00",738,"Converted"
"14446",0,5,"2010-11-18 12:08:00","2011-12-09 11:34:00",386,"Converted"
"13081",0,28,"2009-12-08 13:58:00","2011-12-08 13:13:00",730,"Converted"
"17644",0,20,"2010-02-16 08:44:00","2011-12-08 13:43:00",660,"Converted"
"13078",0,57,"2009-12-01 09:06:00","2011-12-08 18:48:00",737,"Converted"
"13069",0,38,"2010-06-14 14:27:00","2011-12-09 08:39:00",543,"Converted"
"17364",0,27,"2009-12-07 15:28:00","2011-12-09 09:00:00",732,"Converted"
"13077",0,11,"2009-12-11 11:17:00","2011-12-08 19:24:00",727,"Converted"
"17243",0,69,"2009-12-01 15:36:00","2011-12-08 13:26:00",737,"Converted"
"17668",0,2,"2011-11-01 14:45:00","2011-12-08 13:25:00",37,"Converted"
"17673",0,13,"2010-03-19 12:17:00","2011-12-08 13:06:00",629,"Converted"
"17675",0,70,"2009-12-10 16:10:00","2011-12-08 18:03:00",728,"Converted"
"14569",0,4,"2010-04-15 11:49:00","2011-12-08 14:58:00",602,"Converted"
"15344",0,3,"2011-09-26 14:48:00","2011-12-09 10:45:00",74,"Converted"
"12423",0,10,"2010-08-31 09:31:00","2011-12-09 10:10:00",465,"Converted"
"16626",0,17,"2011-03-18 12:27:00","2011-12-09 11:56:00",266,"Converted"
"15311",0,207,"2009-12-01 11:21:00","2011-12-09 12:00:00",738,"Converted"
"14441",0,11,"2010-01-18 10:40:00","2011-12-09 09:07:00",690,"Converted"
"17754",0,13,"2009-12-11 15:52:00","2011-12-09 11:20:00",728,"Converted"
"13890",0,14,"2009-12-06 15:15:00","2011-12-08 15:36:00",732,"Converted"
"17757",0,56,"2010-01-13 15:56:00","2011-12-08 15:31:00",694,"Converted"
"12433",0,10,"2010-08-20 09:23:00","2011-12-09 10:02:00",476,"Converted"
"15898",0,25,"2009-12-11 16:11:00","2011-12-08 15:23:00",727,"Converted"
"12748",0,322,"2009-12-04 17:31:00","2011-12-09 12:20:00",735,"Converted"
"13013",0,29,"2009-12-14 10:34:00","2011-12-08 15:01:00",724,"Converted"
"14606",0,184,"2009-12-03 12:40:00","2011-12-08 19:28:00",735,"Converted"
"13860",0,5,"2011-09-14 09:27:00","2011-12-08 12:57:00",85,"Converted"
"15796",0,17,"2009-12-01 12:18:00","2011-12-08 19:55:00",737,"Converted"
"13777",0,61,"2009-12-02 09:47:00","2011-12-09 12:25:00",737,"Converted"
"16933",0,9,"2009-12-09 15:03:00","2011-12-08 12:54:00",729,"Converted"
"14911",0,373,"2009-12-01 11:41:00","2011-12-08 15:54:00",737,"Converted"
"13883",0,14,"2009-12-23 10:00:00","2011-12-08 19:20:00",715,"Converted"
"12713",0,1,"2011-12-09 12:16:00","2011-12-09 12:16:00",0,"Converted"
"16558",0,38,"2009-12-03 18:11:00","2011-12-09 10:20:00",736,"Converted"
"12985",0,2,"2011-11-11 12:44:00","2011-12-09 10:46:00",28,"Converted"
"16401",0,23,"2010-06-02 13:13:00","2011-12-08 18:15:00",554,"Converted"
"13798",0,110,"2009-12-08 16:21:00","2011-12-08 15:51:00",730,"Converted"
"14796",0,27,"2009-12-14 15:06:00","2011-12-08 15:31:00",724,"Converted"
"14621",0,9,"2009-12-01 13:47:00","2011-12-08 16:22:00",737,"Converted"
"12680",0,4,"2011-08-18 15:44:00","2011-12-09 12:50:00",113,"Converted"
"13298",0,1,"2011-12-08 13:11:00","2011-12-08 13:11:00",0,"Converted"
"13113",0,37,"2010-03-28 16:13:00","2011-12-09 12:49:00",621,"Converted"
"15208",0,6,"2010-10-12 12:17:00","2011-12-08 17:24:00",422,"Converted"
"12662",0,20,"2010-04-01 09:50:00","2011-12-09 11:59:00",617,"Converted"
"14653",0,11,"2009-12-02 11:51:00","2011-12-08 13:45:00",736,"Converted"
"13426",0,22,"2009-12-09 15:16:00","2011-12-09 08:59:00",730,"Converted"
"13680",0,12,"2009-12-04 14:14:00","2011-12-08 13:47:00",734,"Converted"
"15189",0,46,"2010-07-18 13:37:00","2011-12-08 13:22:00",508,"Converted"
"17490",0,9,"2010-05-19 12:40:00","2011-12-09 09:08:00",569,"Converted"
"13404",0,2,"2011-05-11 11:57:00","2011-12-08 15:37:00",211,"Converted"
"17924",0,8,"2010-10-21 12:17:00","2011-12-08 19:28:00",413,"Converted"
"17144",0,2,"2011-09-16 12:50:00","2011-12-08 17:57:00",83,"Converted"
"13521",0,3,"2011-11-29 15:09:00","2011-12-08 13:50:00",9,"Converted"
"16892",0,7,"2009-12-08 14:20:00","2011-12-08 13:18:00",730,"Converted"
"16358",0,5,"2010-11-10 11:36:00","2011-12-08 15:09:00",393,"Converted"
"15156",0,3,"2011-11-06 12:41:00","2011-12-08 18:22:00",32,"Converted"
"16954",0,20,"2010-01-18 14:49:00","2011-12-09 09:46:00",690,"Converted"
"12476",0,18,"2010-07-26 09:04:00","2011-12-08 14:08:00",500,"Converted"
"17949",0,116,"2009-12-02 11:07:00","2011-12-08 18:46:00",736,"Converted"
"14702",0,29,"2009-12-10 20:22:00","2011-12-08 19:29:00",728,"Converted"
"14730",0,8,"2011-03-08 12:49:00","2011-12-08 14:39:00",275,"Converted"
"17001",0,19,"2010-03-25 12:41:00","2011-12-09 09:38:00",624,"Converted"
"13102",0,37,"2010-05-06 13:12:00","2011-12-08 12:52:00",581,"Converted"
"13263",0,38,"2010-10-22 17:07:00","2011-12-08 13:59:00",412,"Converted"
"12526",0,3,"2011-09-06 14:19:00","2011-12-09 12:09:00",94,"Converted"
"17491",0,17,"2010-04-28 11:57:00","2011-12-08 16:18:00",589,"Converted"
"15804",0,13,"2011-05-25 10:12:00","2011-12-09 12:31:00",198,"Converted"
"12518",0,5,"2011-08-21 13:18:00","2011-12-09 10:13:00",110,"Converted"
"13269",0,28,"2009-12-02 11:47:00","2011-12-08 14:53:00",736,"Converted"
"15694",0,23,"2009-12-07 15:43:00","2011-12-09 09:44:00",732,"Converted"
"18102",0,145,"2009-12-01 09:24:00","2011-12-09 11:50:00",738,"Converted"
"13098",0,28,"2011-01-26 13:46:00","2011-12-08 14:14:00",316,"Converted"
"12955",0,11,"2011-03-17 09:03:00","2011-12-08 16:29:00",266,"Converted"
"15484",0,6,"2009-12-05 15:18:00","2011-12-08 15:03:00",733,"Converted"
"13026",0,9,"2009-12-13 11:34:00","2011-12-08 16:58:00",725,"Converted"
"15755",0,17,"2009-12-04 08:24:00","2011-12-08 18:59:00",734,"Converted"
"14397",0,19,"2011-05-10 12:25:00","2011-12-09 09:57:00",213,"Converted"
"13536",0,7,"2011-09-25 13:30:00","2011-12-08 16:38:00",74,"Converted"
"17526",0,12,"2009-12-17 16:18:00","2011-12-08 18:56:00",721,"Converted"
"17436",1,5,"2009-12-07 12:31:00","2011-12-08 12:30:00",731,"Converted"
"17434",1,7,"2011-09-15 13:54:00","2011-12-07 13:16:00",83,"Converted"
"13534",1,35,"2010-07-07 15:00:00","2011-12-07 14:52:00",518,"Converted"
"15520",1,1,"2011-12-08 10:58:00","2011-12-08 10:58:00",0,"Converted"
"15950",1,10,"2010-01-26 10:54:00","2011-12-08 10:34:00",681,"Converted"
"15525",1,4,"2010-11-22 12:10:00","2011-12-07 15:39:00",380,"Converted"
"16779",1,53,"2009-12-03 13:03:00","2011-12-07 14:54:00",734,"Converted"
"14904",1,4,"2010-10-08 12:48:00","2011-12-07 12:55:00",425,"Converted"
"16393",1,23,"2009-12-01 12:13:00","2011-12-07 12:51:00",736,"Converted"
"13394",1,19,"2009-12-01 11:58:00","2011-12-08 11:36:00",737,"Converted"
"12437",1,38,"2009-12-02 16:24:00","2011-12-08 11:35:00",736,"Converted"
"14251",1,5,"2011-10-13 12:46:00","2011-12-08 08:32:00",56,"Converted"
"13769",1,20,"2009-12-16 11:59:00","2011-12-07 15:08:00",721,"Converted"
"13767",1,73,"2009-12-01 10:52:00","2011-12-07 15:00:00",736,"Converted"
"12462",1,2,"2011-02-09 14:44:00","2011-12-07 14:02:00",301,"Converted"
"16210",1,33,"2009-12-02 12:54:00","2011-12-08 12:36:00",736,"Converted"
"12471",1,71,"2009-12-02 14:43:00","2011-12-07 15:43:00",735,"Converted"
"13756",1,23,"2009-12-15 15:18:00","2011-12-07 16:44:00",722,"Converted"
"13408",1,106,"2009-12-04 09:31:00","2011-12-08 09:05:00",734,"Converted"
"12358",1,5,"2009-12-08 07:59:00","2011-12-08 10:26:00",730,"Converted"
