"customer_id","monetary_gross"
"18102",580987.04
"14646",526751.52
"14156",303069.88
"14911",272252.79
"17450",244784.25
"13694",195640.69
"17511",172132.87
"16446",168472.50
"16684",147142.77
"12415",144033.37
"15061",126387.57
"15311",114671.42
"13089",113416.91
"16029",109620.87
"17949",107833.48
"12931",92347.34
"14298",91194.49
"15769",88612.52
"12346",77352.96
"13798",75428.87
"15838",73205.50
"17841",68508.15
"16754",65500.07
"14088",64036.80
"16422",61656.42
"17389",57215.33
"13081",56838.37
"16013",56078.44
"14680",55688.50
"13093",54144.25
"14096",53258.43
"17850",51208.87
"13408",50174.78
"13777",49638.26
"12748",49173.79
"17404",47638.12
"13881",45179.10
"15749",44534.30
"16705",43515.05
"15098",39916.50
"15039",39141.48
"14031",39019.51
"17675",37642.48
"17381",36398.65
"12921",35233.24
"12471",35099.90
"17677",35058.46
"13902",34023.26
"13767",33903.57
"16210",33730.97
"16779",32809.03
"12678",32595.18
"15856",32274.69
"14258",32051.34
"17428",31466.76
"14606",29648.75
"12709",29487.18
"13078",29018.06
"13098",28882.44
"17940",28389.58
"14527",27191.10
"12681",26936.76
"16333",26626.80
"15513",26437.05
"17865",26310.09
"18251",26278.86
"13802",26259.11
"17857",25769.54
"12731",25631.71
"14062",25585.65
"12939",25264.80
"14895",25119.54
"15498",24972.86
"16525",24151.30
"13001",24042.65
"17920",23569.88
"15640",23459.51
"12409",23419.29
"16133",22992.26
"14607",22575.13
"15159",22116.73
"13340",22100.56
"12621",22097.20
"12482",21941.72
"14051",21770.98
"16839",21758.25
"12753",21429.39
"15615",21373.97
"13319",21323.22
"12682",20736.22
"14866",20700.04
"14667",20359.59
"15251",20324.54
"12477",20276.37
"17706",20272.15
"17243",20184.68
"18008",19759.08
"17340",19617.95
"16843",19571.43
"17139",19566.76
"12540",19250.49
"14194",18670.59
"13113",18230.07
"12557",18096.14
"16746",18045.05
"17581",17951.17
"12901",17654.54
"17377",17639.23
"14952",17629.35
"16652",17550.39
"15189",17524.38
"18172",17467.24
"12357",17437.66
"16019",17329.16
"17416",17298.45
"15078",17276.73
"15523",17259.19
"13027",17239.20
"15808",17180.25
"15125",17024.87
"16656",16833.17
"12433",16794.14
"17735",16790.33
"14277",16789.16
"16553",16584.01
"12454",16459.78
"15358",16425.86
"14961",16410.15
"13225",16260.07
"16180",16249.87
"12980",16245.78
"17107",16052.72
"17716",15956.97
"13199",15949.21
"13564",15880.22
"15044",15769.01
"12971",15704.60
"16191",15677.82
"12949",15526.70
"14769",15512.46
"14849",15407.61
"15768",15308.89
"12472",14971.29
"18092",14693.72
"16126",14644.60
"17133",14622.33
"16873",14617.39
"14543",14548.22
"17448",14448.67
"15482",14377.36
"14733",14335.15
"13488",14205.96
"15601",14191.74
"16713",14115.56
"12647",14109.55
"14299",14070.25
"13178",14059.19
"18223",14000.85
"12435",13925.93
"18087",13908.72
"17589",13806.27
"15005",13752.58
"15382",13733.55
"15093",13702.38
"12989",13551.75
"15291",13472.76
"13629",13370.86
"16558",13304.11
"12744",13158.16
"16923",13157.13
"13090",13076.74
"15738",13043.32
"14049",13023.40
"13097",13015.36
"18225",13014.80
"14110",12987.95
"13969",12973.46
"13668",12948.48
"13316",12940.82
"13952",12823.52
"12714",12815.71
"13468",12793.28
"16549",12781.80
"12451",12629.88
"16161",12580.06
"17017",12576.99
"14040",12523.81
"17858",12518.65
"12583",12493.58
"14936",12410.81
"16000",12393.70
"12476",12319.91
"14735",12225.16
"15144",12160.31
"15465",12100.40
"15194",12021.53
"14415",11980.09
"17044",11962.30
"13458",11959.27
"13854",11944.56
"16258",11942.52
"16523",11916.33
"16814",11914.95
"13687",11880.84
"17338",11880.54
"18226",11878.88
"13050",11877.29
"14505",11873.08
"14426",11727.94
"13004",11650.85
"17364",11614.45
"14739",11573.62
"13418",11559.66
"15023",11555.50
"15218",11453.83
"13680",11419.67
"13102",11380.10
"12474",11310.75
"14016",11303.41
"15874",11284.76
"12437",11282.40
"15555",11233.78
"13576",11202.59
"12539",11186.75
"14134",11123.35
"12705",11114.10
"13013",11097.43
"12481",11033.51
"15032",11010.05
"14045",10986.63
"16985",10923.16
"18052",10877.18
"12567",10741.48
"16033",10608.81
"13324",10513.47
"15290",10496.28
"12683",10445.70
"14028",10396.50
"16168",10360.67
"16984",10350.53
"15296",10323.03
"14422",10271.52
"17160",10209.16
"15719",10194.32
"14796",10167.77
"18229",10150.51
"15805",10148.93
"18055",10142.64
"16327",10129.04
"12431",10102.22
"17809",10085.89
"13941",10027.18
"13985",10020.86
"15547",10002.65
"14755",9972.55
"16182",9971.65
"15694",9963.48
"14101",9961.93
"16131",9957.42
"18260",9947.26
"17049",9942.53
"16701",9916.73
"12668",9906.03
"12758",9903.24
"14329",9887.62
"14828",9839.46
"13599",9811.04
"16353",9795.46
"12524",9794.11
"17306",9782.35
"13018",9763.16
"13735",9762.77
"14085",9705.67
"14944",9684.67
"12839",9669.12
"16782",9636.12
"17315",9559.50
"18109",9555.71
"15502",9542.92
"14091",9530.08
"17811",9513.10
"13999",9502.26
"17504",9490.17
"14063",9471.50
"14146",9450.30
"14439",9443.04
"13267",9429.81
"17230",9388.49
"15727",9371.71
"15981",9362.77
"12590",9341.26
"13069",9284.45
"13162",9275.49
"15249",9266.00
"14367",9227.82
"14292",9226.25
"17757",9070.10
"15298",9061.77
"16709",9056.01
"13327",9052.87
"15939",9004.84
"17068",8980.18
"15150",8977.94
"15903",8939.84
"12747",8898.48
"14060",8898.24
"13555",8891.84
"14709",8886.33
"12359",8873.39
"15867",8869.87
"14135",8839.67
"16700",8830.77
"16550",8807.68
"15260",8767.73
"12490",8764.64
"16532",8756.64
"15570",8736.49
"16186",8718.43
"12957",8706.97
"17576",8705.60
"15497",8657.39
"13756",8655.95
"13263",8650.98
"13758",8595.29
"16945",8548.16
"15281",8543.57
"13269",8537.32
"15270",8524.86
"12798",8510.93
"13209",8509.51
"15786",8501.62
"13148",8488.32
"14286",8479.76
"18139",8438.34
"13047",8423.58
"14160",8421.47
"15984",8393.02
"17396",8391.60
"13448",8386.22
"14676",8356.79
"14057",8346.66
"13206",8308.19
"17686",8296.81
"17611",8287.53
"15998",8274.14
"15034",8231.20
"13381",8224.37
"13139",8202.98
"16722",8189.56
"17365",8179.45
"13426",8167.38
"13715",8153.04
"14056",8152.71
"12766",8134.99
"16672",8134.94
"17593",8092.32
"15955",8085.98
"12637",8085.81
"17426",8077.77
"16767",8052.41
"16670",8030.15
"18041",8018.77
"14525",8018.59
"16556",8012.58
"13869",7996.87
"13174",7972.46
"16303",7928.27
"14291",7904.10
"13871",7885.85
"15622",7852.61
"14159",7849.58
"17085",7839.27
"12867",7829.26
"16592",7807.91
"15544",7807.89
"12643",7803.82
"14395",7801.93
"17409",7793.51
"17730",7773.80
