"invoice_no","invoice_date","stock_code","description","quantity","unit_price","line_total"
"529803","2010-10-31 10:37:00","22186","RED STAR CARD HOLDER",48,2.55,122.40
"529803","2010-10-31 10:37:00","22580","ADVENT CALENDAR GINGHAM SACK",48,4.95,237.60
"529803","2010-10-31 10:37:00","22591","CARDHOLDER GINGHAM CHRISTMAS TREE",50,2.55,127.50
"529803","2010-10-31 10:37:00","22689","DOORMAT MERRY CHRISTMAS RED ",50,6.75,337.50
"529803","2010-10-31 10:37:00","22942","CHRISTMAS LIGHTS 10 SANTAS ",48,7.65,367.20
"C536850","2010-12-03 09:47:00","22186","RED STAR CARD HOLDER",-48,2.55,-122.40
"C536850","2010-12-03 09:47:00","22580","ADVENT CALENDAR GINGHAM SACK",-48,4.95,-237.60
"C536850","2010-12-03 09:47:00","22591","CARDHOLDER GINGHAM CHRISTMAS TREE",-50,2.55,-127.50
"C536850","2010-12-03 09:47:00","22689","DOORMAT MERRY CHRISTMAS RED ",-50,6.75,-337.50
"C536850","2010-12-03 09:47:00","22942","CHRISTMAS LIGHTS 10 SANTAS ",-48,7.65,-367.20
