"customer_id","recency_days","first_transaction_date","attempt_count","is_never_converted"
"16995",371,"2010-12-02 17:09:00",1,True
"13353",388,"2010-11-16 11:14:00",1,True
"17755",423,"2010-10-11 15:45:00",1,True
"14120",429,"2010-10-05 19:12:00",1,True
"13342",581,"2010-05-06 16:44:00",1,True
"14914",605,"2010-04-13 10:14:00",1,True
"15997",616,"2010-04-01 13:04:00",1,True
"17661",640,"2010-03-08 16:28:00",1,True
"15767",640,"2009-12-04 14:56:00",2,True
"13749",700,"2010-01-07 16:52:00",1,True
"17632",716,"2009-12-22 10:40:00",2,True
"17645",727,"2009-12-11 13:31:00",1,True
"16512",727,"2009-12-11 14:31:00",1,True
"16220",727,"2009-12-11 13:36:00",1,True
"16580",728,"2009-12-11 12:40:00",1,True
"14337",730,"2009-12-08 14:04:00",1,True
"16853",730,"2009-12-08 17:32:00",1,True
"14925",730,"2009-12-08 13:44:00",1,True
"12896",730,"2009-12-09 09:28:00",1,True
"14864",730,"2009-12-08 17:07:00",1,True
"14763",731,"2009-12-07 17:59:00",1,True
"17485",737,"2009-12-01 14:52:00",1,True
"17641",738,"2009-12-01 12:35:00",1,True
"12713",0,"2011-12-09 12:16:00",1,False
"13269",0,"2009-12-02 11:47:00",30,False
"13013",0,"2009-12-14 10:34:00",31,False
"17389",0,"2009-12-04 12:06:00",75,False
"15910",0,"2010-01-21 11:51:00",15,False
"17528",0,"2011-09-29 13:04:00",11,False
"14911",0,"2009-12-01 11:41:00",466,False
"13077",0,"2009-12-11 11:17:00",14,False
"12950",1,"2011-11-15 13:48:00",3,False
"16672",1,"2011-03-18 10:15:00",22,False
"17436",1,"2009-12-07 12:31:00",7,False
"14217",1,"2010-06-30 12:54:00",33,False
"12437",1,"2009-12-02 16:24:00",45,False
"17602",1,"2010-03-30 17:25:00",18,False
"12621",1,"2010-02-09 12:01:00",44,False
"13436",1,"2011-12-08 10:33:00",1,False
"15237",1,"2011-04-26 15:04:00",4,False
"13408",1,"2009-12-04 09:31:00",127,False
"18109",1,"2010-07-01 12:13:00",45,False
"16210",1,"2009-12-02 12:54:00",35,False
"18154",2,"2010-08-06 09:18:00",5,False
"16201",2,"2010-10-20 12:00:00",6,False
"16817",2,"2010-10-04 09:06:00",18,False
"16000",2,"2011-12-07 12:14:00",3,False
"16554",2,"2009-12-15 09:42:00",18,False
"13882",2,"2011-10-06 15:28:00",6,False
"14708",2,"2010-09-10 10:26:00",6,False
