"customer_id","cancelled_orders","total_orders","order_return_rate_pct"
"13342",1,1,100.0
"14914",1,1,100.0
"15767",2,2,100.0
"14763",1,1,100.0
"15997",1,1,100.0
"17645",1,1,100.0
"17661",1,1,100.0
"14864",1,1,100.0
"16853",1,1,100.0
"17755",1,1,100.0
"17485",1,1,100.0
"14337",1,1,100.0
"13353",1,1,100.0
"16995",1,1,100.0
"13749",1,1,100.0
"14925",1,1,100.0
"16580",1,1,100.0
"17641",1,1,100.0
"16512",1,1,100.0
"14120",1,1,100.0
"12896",1,1,100.0
"17632",2,2,100.0
"16220",1,1,100.0
"16118",4,5,80.0
"12590",3,4,75.0
"14777",3,4,75.0
"13768",6,8,75.0
"12770",5,7,71.4
"12479",2,3,66.7
"16061",2,3,66.7
"18187",2,3,66.7
"13905",2,3,66.7
"18183",4,6,66.7
"17820",2,3,66.7
"16476",2,3,66.7
"14586",2,3,66.7
"14627",2,3,66.7
"16822",2,3,66.7
"12533",4,6,66.7
"13112",2,3,66.7
"16297",2,3,66.7
"13257",2,3,66.7
"16396",2,3,66.7
"16262",2,3,66.7
"16481",2,3,66.7
"14149",2,3,66.7
"18207",2,3,66.7
"17693",2,3,66.7
"17599",2,3,66.7
"14267",6,9,66.7
"12797",4,6,66.7
"13281",2,3,66.7
"12746",2,3,66.7
"12809",5,8,62.5
"17531",5,8,62.5
"12525",5,8,62.5
"16240",3,5,60.0
"15309",6,10,60.0
"16576",3,5,60.0
"14245",3,5,60.0
"16602",3,5,60.0
"13091",3,5,60.0
"15137",3,5,60.0
"14339",3,5,60.0
"15823",3,5,60.0
"13020",3,5,60.0
"14564",3,5,60.0
"17477",3,5,60.0
"13287",4,7,57.1
"16278",4,7,57.1
"15468",4,7,57.1
"12616",4,7,57.1
"13008",4,7,57.1
"16163",8,14,57.1
"14831",4,7,57.1
"13109",4,7,57.1
"13115",13,23,56.5
"13338",5,9,55.6
"13295",5,9,55.6
"16732",5,9,55.6
"16554",10,18,55.6
"12679",5,9,55.6
"14389",6,11,54.5
"12982",9,17,52.9
"14175",9,17,52.9
"14112",14,27,51.9
"18199",1,2,50.0
