"customer_id","recency_days","first_transaction_date","attempt_count","conversion_status"
"16995",371,"2010-12-02 17:09:00",1,"Never Converted"
"13353",388,"2010-11-16 11:14:00",1,"Never Converted"
"17755",423,"2010-10-11 15:45:00",1,"Never Converted"
"14120",429,"2010-10-05 19:12:00",1,"Never Converted"
"13342",581,"2010-05-06 16:44:00",1,"Never Converted"
"14914",605,"2010-04-13 10:14:00",1,"Never Converted"
"15997",616,"2010-04-01 13:04:00",1,"Never Converted"
"17661",640,"2010-03-08 16:28:00",1,"Never Converted"
"15767",640,"2009-12-04 14:56:00",2,"Never Converted"
"13749",700,"2010-01-07 16:52:00",1,"Never Converted"
"17632",716,"2009-12-22 10:40:00",2,"Never Converted"
"16512",727,"2009-12-11 14:31:00",1,"Never Converted"
"16220",727,"2009-12-11 13:36:00",1,"Never Converted"
"17645",727,"2009-12-11 13:31:00",1,"Never Converted"
"16580",728,"2009-12-11 12:40:00",1,"Never Converted"
"12896",730,"2009-12-09 09:28:00",1,"Never Converted"
"14864",730,"2009-12-08 17:07:00",1,"Never Converted"
"14337",730,"2009-12-08 14:04:00",1,"Never Converted"
"16853",730,"2009-12-08 17:32:00",1,"Never Converted"
"14925",730,"2009-12-08 13:44:00",1,"Never Converted"
"14763",731,"2009-12-07 17:59:00",1,"Never Converted"
"17485",737,"2009-12-01 14:52:00",1,"Never Converted"
"17641",738,"2009-12-01 12:35:00",1,"Never Converted"
"16322",0,"2011-11-03 14:33:00",2,"Converted"
"17528",0,"2011-09-29 13:04:00",11,"Converted"
"17530",0,"2009-12-06 16:17:00",13,"Converted"
"15951",0,"2010-11-23 18:20:00",4,"Converted"
"17451",0,"2011-08-26 11:54:00",10,"Converted"
"13510",0,"2009-12-14 13:51:00",17,"Converted"
"17405",0,"2011-07-12 14:17:00",5,"Converted"
"16705",0,"2009-12-09 13:34:00",61,"Converted"
"14422",0,"2009-12-17 12:12:00",21,"Converted"
"13318",0,"2011-11-02 13:26:00",3,"Converted"
"17554",0,"2011-07-14 20:01:00",5,"Converted"
"16794",0,"2010-03-25 15:17:00",17,"Converted"
"17389",0,"2009-12-04 12:06:00",75,"Converted"
"15910",0,"2010-01-21 11:51:00",15,"Converted"
"17315",0,"2010-09-27 12:45:00",47,"Converted"
"16688",0,"2011-10-10 12:23:00",4,"Converted"
"16833",0,"2010-03-26 15:31:00",6,"Converted"
"13471",0,"2011-10-23 13:10:00",4,"Converted"
"17581",0,"2009-12-03 12:34:00",52,"Converted"
"14056",0,"2011-02-28 15:19:00",29,"Converted"
"15399",0,"2011-09-21 15:57:00",3,"Converted"
"14051",0,"2009-12-03 11:53:00",42,"Converted"
"13599",0,"2009-12-01 12:30:00",52,"Converted"
"14415",0,"2009-12-16 14:08:00",32,"Converted"
"17428",0,"2009-12-01 17:28:00",51,"Converted"
"14446",0,"2010-11-18 12:08:00",5,"Converted"
"13081",0,"2009-12-08 13:58:00",43,"Converted"
"17644",0,"2010-02-16 08:44:00",28,"Converted"
"13078",0,"2009-12-01 09:06:00",95,"Converted"
"13069",0,"2010-06-14 14:27:00",42,"Converted"
"17364",0,"2009-12-07 15:28:00",29,"Converted"
"13077",0,"2009-12-11 11:17:00",14,"Converted"
"17243",0,"2009-12-01 15:36:00",80,"Converted"
"17668",0,"2011-11-01 14:45:00",2,"Converted"
"17673",0,"2010-03-19 12:17:00",15,"Converted"
"17675",0,"2009-12-10 16:10:00",89,"Converted"
"14569",0,"2010-04-15 11:49:00",4,"Converted"
"15344",0,"2011-09-26 14:48:00",5,"Converted"
"12423",0,"2010-08-31 09:31:00",11,"Converted"
"16626",0,"2011-03-18 12:27:00",20,"Converted"
"15311",0,"2009-12-01 11:21:00",269,"Converted"
"14441",0,"2010-01-18 10:40:00",18,"Converted"
"17754",0,"2009-12-11 15:52:00",16,"Converted"
"13890",0,"2009-12-06 15:15:00",22,"Converted"
"17757",0,"2010-01-13 15:56:00",60,"Converted"
"12433",0,"2010-08-20 09:23:00",10,"Converted"
"15898",0,"2009-12-11 16:11:00",29,"Converted"
"12748",0,"2009-12-04 17:31:00",343,"Converted"
"13013",0,"2009-12-14 10:34:00",31,"Converted"
"14606",0,"2009-12-03 12:40:00",250,"Converted"
"13860",0,"2011-09-14 09:27:00",6,"Converted"
"15796",0,"2009-12-01 12:18:00",21,"Converted"
"13777",0,"2009-12-02 09:47:00",72,"Converted"
"16933",0,"2009-12-09 15:03:00",16,"Converted"
"14911",0,"2009-12-01 11:41:00",466,"Converted"
"13883",0,"2009-12-23 10:00:00",25,"Converted"
"12713",0,"2011-12-09 12:16:00",1,"Converted"
"16558",0,"2009-12-03 18:11:00",47,"Converted"
"12985",0,"2011-11-11 12:44:00",3,"Converted"
"16401",0,"2010-06-02 13:13:00",38,"Converted"
"13798",0,"2009-12-08 16:21:00",124,"Converted"
"14796",0,"2009-12-14 15:06:00",39,"Converted"
"14621",0,"2009-12-01 13:47:00",16,"Converted"
"12680",0,"2011-08-18 15:44:00",4,"Converted"
"13298",0,"2011-12-08 13:11:00",1,"Converted"
"13113",0,"2010-03-28 16:13:00",59,"Converted"
"15208",0,"2010-10-12 12:17:00",7,"Converted"
"12662",0,"2010-04-01 09:50:00",22,"Converted"
"14653",0,"2009-12-02 11:51:00",11,"Converted"
"13426",0,"2009-12-09 15:16:00",23,"Converted"
"13680",0,"2009-12-04 14:14:00",13,"Converted"
"15189",0,"2010-07-18 13:37:00",58,"Converted"
"17490",0,"2010-05-19 12:40:00",13,"Converted"
"13404",0,"2011-05-11 11:57:00",2,"Converted"
"17924",0,"2010-10-21 12:17:00",14,"Converted"
"17144",0,"2011-09-16 12:50:00",2,"Converted"
"13521",0,"2011-11-29 15:09:00",3,"Converted"
"16892",0,"2009-12-08 14:20:00",9,"Converted"
"16358",0,"2010-11-10 11:36:00",6,"Converted"
"15156",0,"2011-11-06 12:41:00",3,"Converted"
"16954",0,"2010-01-18 14:49:00",21,"Converted"
"12476",0,"2010-07-26 09:04:00",33,"Converted"
"17949",0,"2009-12-02 11:07:00",128,"Converted"
"14702",0,"2009-12-10 20:22:00",32,"Converted"
"14730",0,"2011-03-08 12:49:00",8,"Converted"
"17001",0,"2010-03-25 12:41:00",19,"Converted"
"13102",0,"2010-05-06 13:12:00",42,"Converted"
"13263",0,"2010-10-22 17:07:00",38,"Converted"
"12526",0,"2011-09-06 14:19:00",3,"Converted"
"17491",0,"2010-04-28 11:57:00",18,"Converted"
"15804",0,"2011-05-25 10:12:00",19,"Converted"
"12518",0,"2011-08-21 13:18:00",5,"Converted"
"13269",0,"2009-12-02 11:47:00",30,"Converted"
"15694",0,"2009-12-07 15:43:00",28,"Converted"
"18102",0,"2009-12-01 09:24:00",147,"Converted"
"13098",0,"2011-01-26 13:46:00",41,"Converted"
"12955",0,"2011-03-17 09:03:00",14,"Converted"
"15484",0,"2009-12-05 15:18:00",7,"Converted"
"13026",0,"2009-12-13 11:34:00",12,"Converted"
"15755",0,"2009-12-04 08:24:00",20,"Converted"
"14397",0,"2011-05-10 12:25:00",23,"Converted"
"13536",0,"2011-09-25 13:30:00",7,"Converted"
"17526",0,"2009-12-17 16:18:00",16,"Converted"
"17436",1,"2009-12-07 12:31:00",7,"Converted"
"17434",1,"2011-09-15 13:54:00",9,"Converted"
"13534",1,"2010-07-07 15:00:00",60,"Converted"
"15520",1,"2011-12-08 10:58:00",1,"Converted"
"15950",1,"2010-01-26 10:54:00",13,"Converted"
"15525",1,"2010-11-22 12:10:00",5,"Converted"
"16779",1,"2009-12-03 13:03:00",62,"Converted"
"14904",1,"2010-10-08 12:48:00",4,"Converted"
"16393",1,"2009-12-01 12:13:00",30,"Converted"
"13394",1,"2009-12-01 11:58:00",23,"Converted"
"12437",1,"2009-12-02 16:24:00",45,"Converted"
"14251",1,"2011-10-13 12:46:00",5,"Converted"
"13769",1,"2009-12-16 11:59:00",29,"Converted"
"13767",1,"2009-12-01 10:52:00",96,"Converted"
"12462",1,"2011-02-09 14:44:00",4,"Converted"
"16210",1,"2009-12-02 12:54:00",35,"Converted"
"12471",1,"2009-12-02 14:43:00",120,"Converted"
"13756",1,"2009-12-15 15:18:00",25,"Converted"
"13408",1,"2009-12-04 09:31:00",127,"Converted"
